"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
1.012516,1.012516,1.012516,1.012516,1.012516,0.459708,0.459708,0.459708,0.459708,0.459708,0.257172,0.257172,0.257172,0.257172,0.257172,0.352248,0.352248,0.352248,0.352248,0.352248,0.38932,0.38932,0.38932,0.38932,0.38932,0.374052,0.374052,0.374052,0.374052,0.374052,0.279312,0.279312,0.279312,0.279312,0.279312,0.183536,0.183536,0.183536,0.183536,0.183536,0.121948,0.121948,0.121948,0.121948,0.121948,0.718728,0.718728,0.718728,0.718728,0.718728,0.118264,0.118264,0.118264,0.118264,0.118264,0.10036,0.10036,0.10036,0.10036,0.10036,0.081348,0.081348,0.081348,0.081348,0.081348,0.069656,0.069656,0.069656,0.069656,0.069656,0.059756,0.059756,0.059756,0.059756,0.059756,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376
1.012516,1.012516,1.012516,1.012516,1.012516,0.459708,0.459708,0.459708,0.459708,0.459708,0.257172,0.257172,0.257172,0.257172,0.257172,0.352248,0.352248,0.352248,0.352248,0.352248,0.38932,0.38932,0.38932,0.38932,0.38932,0.374052,0.374052,0.374052,0.374052,0.374052,0.279312,0.279312,0.279312,0.279312,0.279312,0.183536,0.183536,0.183536,0.183536,0.183536,0.121948,0.121948,0.121948,0.121948,0.121948,0.718728,0.718728,0.718728,0.718728,0.718728,0.118264,0.118264,0.118264,0.118264,0.118264,0.10036,0.10036,0.10036,0.10036,0.10036,0.081348,0.081348,0.081348,0.081348,0.081348,0.069656,0.069656,0.069656,0.069656,0.069656,0.059756,0.059756,0.059756,0.059756,0.059756,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376
1.012516,1.012516,1.012516,1.012516,1.012516,0.459708,0.459708,0.459708,0.459708,0.459708,0.257172,0.257172,0.257172,0.257172,0.257172,0.352248,0.352248,0.352248,0.352248,0.352248,0.38932,0.38932,0.38932,0.38932,0.38932,0.374052,0.374052,0.374052,0.374052,0.374052,0.279312,0.279312,0.279312,0.279312,0.279312,0.183536,0.183536,0.183536,0.183536,0.183536,0.121948,0.121948,0.121948,0.121948,0.121948,0.718728,0.718728,0.718728,0.718728,0.718728,0.118264,0.118264,0.118264,0.118264,0.118264,0.10036,0.10036,0.10036,0.10036,0.10036,0.081348,0.081348,0.081348,0.081348,0.081348,0.069656,0.069656,0.069656,0.069656,0.069656,0.059756,0.059756,0.059756,0.059756,0.059756,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376
1.012516,1.012516,1.012516,1.012516,1.012516,0.459708,0.459708,0.459708,0.459708,0.459708,0.257172,0.257172,0.257172,0.257172,0.257172,0.352248,0.352248,0.352248,0.352248,0.352248,0.38932,0.38932,0.38932,0.38932,0.38932,0.374052,0.374052,0.374052,0.374052,0.374052,0.279312,0.279312,0.279312,0.279312,0.279312,0.183536,0.183536,0.183536,0.183536,0.183536,0.121948,0.121948,0.121948,0.121948,0.121948,0.718728,0.718728,0.718728,0.718728,0.718728,0.118264,0.118264,0.118264,0.118264,0.118264,0.10036,0.10036,0.10036,0.10036,0.10036,0.081348,0.081348,0.081348,0.081348,0.081348,0.069656,0.069656,0.069656,0.069656,0.069656,0.059756,0.059756,0.059756,0.059756,0.059756,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376
1.012516,1.012516,1.012516,1.012516,1.012516,0.459708,0.459708,0.459708,0.459708,0.459708,0.257172,0.257172,0.257172,0.257172,0.257172,0.352248,0.352248,0.352248,0.352248,0.352248,0.38932,0.38932,0.38932,0.38932,0.38932,0.374052,0.374052,0.374052,0.374052,0.374052,0.279312,0.279312,0.279312,0.279312,0.279312,0.183536,0.183536,0.183536,0.183536,0.183536,0.121948,0.121948,0.121948,0.121948,0.121948,0.718728,0.718728,0.718728,0.718728,0.718728,0.118264,0.118264,0.118264,0.118264,0.118264,0.10036,0.10036,0.10036,0.10036,0.10036,0.081348,0.081348,0.081348,0.081348,0.081348,0.069656,0.069656,0.069656,0.069656,0.069656,0.059756,0.059756,0.059756,0.059756,0.059756,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376,0.055376
0.821692,0.821692,0.821692,0.821692,0.821692,0.885296,0.885296,0.885296,0.885296,0.885296,0.300296,0.300296,0.300296,0.300296,0.300296,0.194828,0.194828,0.194828,0.194828,0.194828,0.356468,0.356468,0.356468,0.356468,0.356468,0.413536,0.413536,0.413536,0.413536,0.413536,0.348716,0.348716,0.348716,0.348716,0.348716,0.286168,0.286168,0.286168,0.286168,0.286168,0.172508,0.172508,0.172508,0.172508,0.172508,2.84642,2.84642,2.84642,2.84642,2.84642,0.15188,0.15188,0.15188,0.15188,0.15188,0.116448,0.116448,0.116448,0.116448,0.116448,0.10062,0.10062,0.10062,0.10062,0.10062,0.077332,0.077332,0.077332,0.077332,0.077332,0.062036,0.062036,0.062036,0.062036,0.062036,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606
0.821692,0.821692,0.821692,0.821692,0.821692,0.885296,0.885296,0.885296,0.885296,0.885296,0.300296,0.300296,0.300296,0.300296,0.300296,0.194828,0.194828,0.194828,0.194828,0.194828,0.356468,0.356468,0.356468,0.356468,0.356468,0.413536,0.413536,0.413536,0.413536,0.413536,0.348716,0.348716,0.348716,0.348716,0.348716,0.286168,0.286168,0.286168,0.286168,0.286168,0.172508,0.172508,0.172508,0.172508,0.172508,2.84642,2.84642,2.84642,2.84642,2.84642,0.15188,0.15188,0.15188,0.15188,0.15188,0.116448,0.116448,0.116448,0.116448,0.116448,0.10062,0.10062,0.10062,0.10062,0.10062,0.077332,0.077332,0.077332,0.077332,0.077332,0.062036,0.062036,0.062036,0.062036,0.062036,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606
0.821692,0.821692,0.821692,0.821692,0.821692,0.885296,0.885296,0.885296,0.885296,0.885296,0.300296,0.300296,0.300296,0.300296,0.300296,0.194828,0.194828,0.194828,0.194828,0.194828,0.356468,0.356468,0.356468,0.356468,0.356468,0.413536,0.413536,0.413536,0.413536,0.413536,0.348716,0.348716,0.348716,0.348716,0.348716,0.286168,0.286168,0.286168,0.286168,0.286168,0.172508,0.172508,0.172508,0.172508,0.172508,2.84642,2.84642,2.84642,2.84642,2.84642,0.15188,0.15188,0.15188,0.15188,0.15188,0.116448,0.116448,0.116448,0.116448,0.116448,0.10062,0.10062,0.10062,0.10062,0.10062,0.077332,0.077332,0.077332,0.077332,0.077332,0.062036,0.062036,0.062036,0.062036,0.062036,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606
0.821692,0.821692,0.821692,0.821692,0.821692,0.885296,0.885296,0.885296,0.885296,0.885296,0.300296,0.300296,0.300296,0.300296,0.300296,0.194828,0.194828,0.194828,0.194828,0.194828,0.356468,0.356468,0.356468,0.356468,0.356468,0.413536,0.413536,0.413536,0.413536,0.413536,0.348716,0.348716,0.348716,0.348716,0.348716,0.286168,0.286168,0.286168,0.286168,0.286168,0.172508,0.172508,0.172508,0.172508,0.172508,2.84642,2.84642,2.84642,2.84642,2.84642,0.15188,0.15188,0.15188,0.15188,0.15188,0.116448,0.116448,0.116448,0.116448,0.116448,0.10062,0.10062,0.10062,0.10062,0.10062,0.077332,0.077332,0.077332,0.077332,0.077332,0.062036,0.062036,0.062036,0.062036,0.062036,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606
0.821692,0.821692,0.821692,0.821692,0.821692,0.885296,0.885296,0.885296,0.885296,0.885296,0.300296,0.300296,0.300296,0.300296,0.300296,0.194828,0.194828,0.194828,0.194828,0.194828,0.356468,0.356468,0.356468,0.356468,0.356468,0.413536,0.413536,0.413536,0.413536,0.413536,0.348716,0.348716,0.348716,0.348716,0.348716,0.286168,0.286168,0.286168,0.286168,0.286168,0.172508,0.172508,0.172508,0.172508,0.172508,2.84642,2.84642,2.84642,2.84642,2.84642,0.15188,0.15188,0.15188,0.15188,0.15188,0.116448,0.116448,0.116448,0.116448,0.116448,0.10062,0.10062,0.10062,0.10062,0.10062,0.077332,0.077332,0.077332,0.077332,0.077332,0.062036,0.062036,0.062036,0.062036,0.062036,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606
