"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
1.247484,1.247484,1.247484,1.247484,1.247484,0.503916,0.503916,0.503916,0.503916,0.503916,0.254288,0.254288,0.254288,0.254288,0.254288,0.313964,0.313964,0.313964,0.313964,0.313964,0.383896,0.383896,0.383896,0.383896,0.383896,0.331324,0.331324,0.331324,0.331324,0.331324,0.287204,0.287204,0.287204,0.287204,0.287204,0.189552,0.189552,0.189552,0.189552,0.189552,0.139892,0.139892,0.139892,0.139892,0.139892,0.967376,0.967376,0.967376,0.967376,0.967376,0.135088,0.135088,0.135088,0.135088,0.135088,0.11856,0.11856,0.11856,0.11856,0.11856,0.089144,0.089144,0.089144,0.089144,0.089144,0.074832,0.074832,0.074832,0.074832,0.074832,0.059908,0.059908,0.059908,0.059908,0.059908,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996
1.247484,1.247484,1.247484,1.247484,1.247484,0.503916,0.503916,0.503916,0.503916,0.503916,0.254288,0.254288,0.254288,0.254288,0.254288,0.313964,0.313964,0.313964,0.313964,0.313964,0.383896,0.383896,0.383896,0.383896,0.383896,0.331324,0.331324,0.331324,0.331324,0.331324,0.287204,0.287204,0.287204,0.287204,0.287204,0.189552,0.189552,0.189552,0.189552,0.189552,0.139892,0.139892,0.139892,0.139892,0.139892,0.967376,0.967376,0.967376,0.967376,0.967376,0.135088,0.135088,0.135088,0.135088,0.135088,0.11856,0.11856,0.11856,0.11856,0.11856,0.089144,0.089144,0.089144,0.089144,0.089144,0.074832,0.074832,0.074832,0.074832,0.074832,0.059908,0.059908,0.059908,0.059908,0.059908,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996
1.247484,1.247484,1.247484,1.247484,1.247484,0.503916,0.503916,0.503916,0.503916,0.503916,0.254288,0.254288,0.254288,0.254288,0.254288,0.313964,0.313964,0.313964,0.313964,0.313964,0.383896,0.383896,0.383896,0.383896,0.383896,0.331324,0.331324,0.331324,0.331324,0.331324,0.287204,0.287204,0.287204,0.287204,0.287204,0.189552,0.189552,0.189552,0.189552,0.189552,0.139892,0.139892,0.139892,0.139892,0.139892,0.967376,0.967376,0.967376,0.967376,0.967376,0.135088,0.135088,0.135088,0.135088,0.135088,0.11856,0.11856,0.11856,0.11856,0.11856,0.089144,0.089144,0.089144,0.089144,0.089144,0.074832,0.074832,0.074832,0.074832,0.074832,0.059908,0.059908,0.059908,0.059908,0.059908,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996
1.247484,1.247484,1.247484,1.247484,1.247484,0.503916,0.503916,0.503916,0.503916,0.503916,0.254288,0.254288,0.254288,0.254288,0.254288,0.313964,0.313964,0.313964,0.313964,0.313964,0.383896,0.383896,0.383896,0.383896,0.383896,0.331324,0.331324,0.331324,0.331324,0.331324,0.287204,0.287204,0.287204,0.287204,0.287204,0.189552,0.189552,0.189552,0.189552,0.189552,0.139892,0.139892,0.139892,0.139892,0.139892,0.967376,0.967376,0.967376,0.967376,0.967376,0.135088,0.135088,0.135088,0.135088,0.135088,0.11856,0.11856,0.11856,0.11856,0.11856,0.089144,0.089144,0.089144,0.089144,0.089144,0.074832,0.074832,0.074832,0.074832,0.074832,0.059908,0.059908,0.059908,0.059908,0.059908,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996
1.247484,1.247484,1.247484,1.247484,1.247484,0.503916,0.503916,0.503916,0.503916,0.503916,0.254288,0.254288,0.254288,0.254288,0.254288,0.313964,0.313964,0.313964,0.313964,0.313964,0.383896,0.383896,0.383896,0.383896,0.383896,0.331324,0.331324,0.331324,0.331324,0.331324,0.287204,0.287204,0.287204,0.287204,0.287204,0.189552,0.189552,0.189552,0.189552,0.189552,0.139892,0.139892,0.139892,0.139892,0.139892,0.967376,0.967376,0.967376,0.967376,0.967376,0.135088,0.135088,0.135088,0.135088,0.135088,0.11856,0.11856,0.11856,0.11856,0.11856,0.089144,0.089144,0.089144,0.089144,0.089144,0.074832,0.074832,0.074832,0.074832,0.074832,0.059908,0.059908,0.059908,0.059908,0.059908,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996,0.054996
1.018212,1.018212,1.018212,1.018212,1.018212,0.912684,0.912684,0.912684,0.912684,0.912684,0.29152,0.29152,0.29152,0.29152,0.29152,0.183552,0.183552,0.183552,0.183552,0.183552,0.34936,0.34936,0.34936,0.34936,0.34936,0.344184,0.344184,0.344184,0.344184,0.344184,0.32232,0.32232,0.32232,0.32232,0.32232,0.26254,0.26254,0.26254,0.26254,0.26254,0.18262,0.18262,0.18262,0.18262,0.18262,2.501492,2.501492,2.501492,2.501492,2.501492,0.15482,0.15482,0.15482,0.15482,0.15482,0.134468,0.134468,0.134468,0.134468,0.134468,0.107484,0.107484,0.107484,0.107484,0.107484,0.081776,0.081776,0.081776,0.081776,0.081776,0.061516,0.061516,0.061516,0.061516,0.061516,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656
1.018212,1.018212,1.018212,1.018212,1.018212,0.912684,0.912684,0.912684,0.912684,0.912684,0.29152,0.29152,0.29152,0.29152,0.29152,0.183552,0.183552,0.183552,0.183552,0.183552,0.34936,0.34936,0.34936,0.34936,0.34936,0.344184,0.344184,0.344184,0.344184,0.344184,0.32232,0.32232,0.32232,0.32232,0.32232,0.26254,0.26254,0.26254,0.26254,0.26254,0.18262,0.18262,0.18262,0.18262,0.18262,2.501492,2.501492,2.501492,2.501492,2.501492,0.15482,0.15482,0.15482,0.15482,0.15482,0.134468,0.134468,0.134468,0.134468,0.134468,0.107484,0.107484,0.107484,0.107484,0.107484,0.081776,0.081776,0.081776,0.081776,0.081776,0.061516,0.061516,0.061516,0.061516,0.061516,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656
1.018212,1.018212,1.018212,1.018212,1.018212,0.912684,0.912684,0.912684,0.912684,0.912684,0.29152,0.29152,0.29152,0.29152,0.29152,0.183552,0.183552,0.183552,0.183552,0.183552,0.34936,0.34936,0.34936,0.34936,0.34936,0.344184,0.344184,0.344184,0.344184,0.344184,0.32232,0.32232,0.32232,0.32232,0.32232,0.26254,0.26254,0.26254,0.26254,0.26254,0.18262,0.18262,0.18262,0.18262,0.18262,2.501492,2.501492,2.501492,2.501492,2.501492,0.15482,0.15482,0.15482,0.15482,0.15482,0.134468,0.134468,0.134468,0.134468,0.134468,0.107484,0.107484,0.107484,0.107484,0.107484,0.081776,0.081776,0.081776,0.081776,0.081776,0.061516,0.061516,0.061516,0.061516,0.061516,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656
1.018212,1.018212,1.018212,1.018212,1.018212,0.912684,0.912684,0.912684,0.912684,0.912684,0.29152,0.29152,0.29152,0.29152,0.29152,0.183552,0.183552,0.183552,0.183552,0.183552,0.34936,0.34936,0.34936,0.34936,0.34936,0.344184,0.344184,0.344184,0.344184,0.344184,0.32232,0.32232,0.32232,0.32232,0.32232,0.26254,0.26254,0.26254,0.26254,0.26254,0.18262,0.18262,0.18262,0.18262,0.18262,2.501492,2.501492,2.501492,2.501492,2.501492,0.15482,0.15482,0.15482,0.15482,0.15482,0.134468,0.134468,0.134468,0.134468,0.134468,0.107484,0.107484,0.107484,0.107484,0.107484,0.081776,0.081776,0.081776,0.081776,0.081776,0.061516,0.061516,0.061516,0.061516,0.061516,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656
1.018212,1.018212,1.018212,1.018212,1.018212,0.912684,0.912684,0.912684,0.912684,0.912684,0.29152,0.29152,0.29152,0.29152,0.29152,0.183552,0.183552,0.183552,0.183552,0.183552,0.34936,0.34936,0.34936,0.34936,0.34936,0.344184,0.344184,0.344184,0.344184,0.344184,0.32232,0.32232,0.32232,0.32232,0.32232,0.26254,0.26254,0.26254,0.26254,0.26254,0.18262,0.18262,0.18262,0.18262,0.18262,2.501492,2.501492,2.501492,2.501492,2.501492,0.15482,0.15482,0.15482,0.15482,0.15482,0.134468,0.134468,0.134468,0.134468,0.134468,0.107484,0.107484,0.107484,0.107484,0.107484,0.081776,0.081776,0.081776,0.081776,0.081776,0.061516,0.061516,0.061516,0.061516,0.061516,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656,0.055656
