Country,ISO3Alpha-code,Year,Age_Category,Population_age,age,Annual_population
Djibouti,DJI,2000,0,23.53,0,747.3185
Djibouti,DJI,2000,1,22.3875,1,747.3185
Djibouti,DJI,2000,2,21.504,2,747.3185
Djibouti,DJI,2000,3,20.9485,3,747.3185
Djibouti,DJI,2000,4,20.6885,4,747.3185
Djibouti,DJI,2000,5,20.45,5,747.3185
Djibouti,DJI,2000,6,20.137,6,747.3185
Djibouti,DJI,2000,7,19.732,7,747.3185
Djibouti,DJI,2000,8,19.338,8,747.3185
Djibouti,DJI,2000,9,18.951,9,747.3185
Djibouti,DJI,2000,10,18.482,10,747.3185
Djibouti,DJI,2000,11,18.007,11,747.3185
Djibouti,DJI,2000,12,17.5815,12,747.3185
Djibouti,DJI,2000,13,17.172,13,747.3185
Djibouti,DJI,2000,14,16.784,14,747.3185
Djibouti,DJI,2000,15,16.437,15,747.3185
Djibouti,DJI,2000,16,16.131,16,747.3185
Djibouti,DJI,2000,17,15.8545,17,747.3185
Djibouti,DJI,2000,18,15.6145,18,747.3185
Djibouti,DJI,2000,19,15.403,19,747.3185
Djibouti,DJI,2000,20,15.201,20,747.3185
Djibouti,DJI,2000,21,14.9875,21,747.3185
Djibouti,DJI,2000,22,14.7405,22,747.3185
Djibouti,DJI,2000,23,14.4545,23,747.3185
Djibouti,DJI,2000,24,14.1325,24,747.3185
Djibouti,DJI,2000,25,13.7745,25,747.3185
Djibouti,DJI,2000,26,13.382,26,747.3185
Djibouti,DJI,2000,27,12.957,27,747.3185
Djibouti,DJI,2000,28,12.502,28,747.3185
Djibouti,DJI,2000,29,12.017,29,747.3185
Djibouti,DJI,2000,30,11.5205,30,747.3185
Djibouti,DJI,2000,31,11.03,31,747.3185
Djibouti,DJI,2000,32,10.5455,32,747.3185
Djibouti,DJI,2000,33,10.0745,33,747.3185
Djibouti,DJI,2000,34,9.6165,34,747.3185
Djibouti,DJI,2000,35,9.1755,35,747.3185
Djibouti,DJI,2000,36,8.751,36,747.3185
Djibouti,DJI,2000,37,8.341,37,747.3185
Djibouti,DJI,2000,38,7.953,38,747.3185
Djibouti,DJI,2000,39,7.581,39,747.3185
Djibouti,DJI,2000,40,7.2245,40,747.3185
Djibouti,DJI,2000,41,6.888,41,747.3185
Djibouti,DJI,2000,42,6.5695,42,747.3185
Djibouti,DJI,2000,43,6.265,43,747.3185
Djibouti,DJI,2000,44,5.9755,44,747.3185
Djibouti,DJI,2000,45,5.698,45,747.3185
Djibouti,DJI,2000,46,5.4385,46,747.3185
Djibouti,DJI,2000,47,5.213,47,747.3185
Djibouti,DJI,2000,48,5.0685,48,747.3185
Djibouti,DJI,2000,49,5.049,49,747.3185
Djibouti,DJI,2000,50,5.0965,50,747.3185
Djibouti,DJI,2000,51,5.0255,51,747.3185
Djibouti,DJI,2000,52,4.801,52,747.3185
Djibouti,DJI,2000,53,4.553,53,747.3185
Djibouti,DJI,2000,54,4.3195,54,747.3185
Djibouti,DJI,2000,55,4.0935,55,747.3185
Djibouti,DJI,2000,56,3.881,56,747.3185
Djibouti,DJI,2000,57,3.6815,57,747.3185
Djibouti,DJI,2000,58,3.494,58,747.3185
Djibouti,DJI,2000,59,3.3165,59,747.3185
Djibouti,DJI,2000,60,3.151,60,747.3185
Djibouti,DJI,2000,61,2.9925,61,747.3185
Djibouti,DJI,2000,62,2.832,62,747.3185
Djibouti,DJI,2000,63,2.6675,63,747.3185
Djibouti,DJI,2000,64,2.507,64,747.3185
Djibouti,DJI,2000,65,2.3555,65,747.3185
Djibouti,DJI,2000,66,2.208,66,747.3185
Djibouti,DJI,2000,67,2.062,67,747.3185
Djibouti,DJI,2000,68,1.9175,68,747.3185
Djibouti,DJI,2000,69,1.777,69,747.3185
Djibouti,DJI,2000,70,1.642,70,747.3185
Djibouti,DJI,2000,71,1.503,71,747.3185
Djibouti,DJI,2000,72,1.3645,72,747.3185
Djibouti,DJI,2000,73,1.2275,73,747.3185
Djibouti,DJI,2000,74,1.101,74,747.3185
Djibouti,DJI,2000,75,0.986,75,747.3185
Djibouti,DJI,2000,76,0.8785,76,747.3185
Djibouti,DJI,2000,77,0.776,77,747.3185
Djibouti,DJI,2000,78,0.68,78,747.3185
Djibouti,DJI,2000,79,0.589,79,747.3185
Djibouti,DJI,2000,80,0.504,80,747.3185
Djibouti,DJI,2000,81,0.427,81,747.3185
Djibouti,DJI,2000,82,0.357,82,747.3185
Djibouti,DJI,2000,83,0.294,83,747.3185
Djibouti,DJI,2000,84,0.2395,84,747.3185
Djibouti,DJI,2000,85,0.1915,85,747.3185
Djibouti,DJI,2000,86,0.151,86,747.3185
Djibouti,DJI,2000,87,0.1165,87,747.3185
Djibouti,DJI,2000,88,0.0885,88,747.3185
Djibouti,DJI,2000,89,0.066,89,747.3185
Djibouti,DJI,2000,90,0.0475,90,747.3185
Djibouti,DJI,2000,91,0.033,91,747.3185
Djibouti,DJI,2000,92,0.023,92,747.3185
Djibouti,DJI,2000,93,0.0155,93,747.3185
Djibouti,DJI,2000,94,0.01,94,747.3185
Djibouti,DJI,2000,95,0.0065,95,747.3185
Djibouti,DJI,2000,96,0.004,96,747.3185
Djibouti,DJI,2000,97,0.003,97,747.3185
Djibouti,DJI,2000,98,0.001,98,747.3185
Djibouti,DJI,2000,99,0.001,99,747.3185
Djibouti,DJI,2000,100,0,100,747.3185
Djibouti,DJI,2001,0,24.206,0,771.313
Djibouti,DJI,2001,1,23.127,1,771.313
Djibouti,DJI,2001,2,22.2295,2,771.313
Djibouti,DJI,2001,3,21.3675,3,771.313
Djibouti,DJI,2001,4,20.8285,4,771.313
Djibouti,DJI,2001,5,20.583,5,771.313
Djibouti,DJI,2001,6,20.3585,6,771.313
Djibouti,DJI,2001,7,20.06,7,771.313
Djibouti,DJI,2001,8,19.6675,8,771.313
Djibouti,DJI,2001,9,19.2855,9,771.313
Djibouti,DJI,2001,10,18.9075,10,771.313
Djibouti,DJI,2001,11,18.4475,11,771.313
Djibouti,DJI,2001,12,17.983,12,771.313
Djibouti,DJI,2001,13,17.5705,13,771.313
Djibouti,DJI,2001,14,17.181,14,771.313
Djibouti,DJI,2001,15,16.8165,15,771.313
Djibouti,DJI,2001,16,16.4985,16,771.313
Djibouti,DJI,2001,17,16.2215,17,771.313
Djibouti,DJI,2001,18,15.974,18,771.313
Djibouti,DJI,2001,19,15.7595,19,771.313
Djibouti,DJI,2001,20,15.568,20,771.313
Djibouti,DJI,2001,21,15.3825,21,771.313
Djibouti,DJI,2001,22,15.179,22,771.313
Djibouti,DJI,2001,23,14.9365,23,771.313
Djibouti,DJI,2001,24,14.652,24,771.313
Djibouti,DJI,2001,25,14.3265,25,771.313
Djibouti,DJI,2001,26,13.9615,26,771.313
Djibouti,DJI,2001,27,13.559,27,771.313
Djibouti,DJI,2001,28,13.1245,28,771.313
Djibouti,DJI,2001,29,12.6585,29,771.313
Djibouti,DJI,2001,30,12.1595,30,771.313
Djibouti,DJI,2001,31,11.6515,31,771.313
Djibouti,DJI,2001,32,11.1485,32,771.313
Djibouti,DJI,2001,33,10.653,33,771.313
Djibouti,DJI,2001,34,10.171,34,771.313
Djibouti,DJI,2001,35,9.7015,35,771.313
Djibouti,DJI,2001,36,9.252,36,771.313
Djibouti,DJI,2001,37,8.816,37,771.313
Djibouti,DJI,2001,38,8.398,38,771.313
Djibouti,DJI,2001,39,8.001,39,771.313
Djibouti,DJI,2001,40,7.621,40,771.313
Djibouti,DJI,2001,41,7.2575,41,771.313
Djibouti,DJI,2001,42,6.914,42,771.313
Djibouti,DJI,2001,43,6.589,43,771.313
Djibouti,DJI,2001,44,6.2805,44,771.313
Djibouti,DJI,2001,45,5.986,45,771.313
Djibouti,DJI,2001,46,5.705,46,771.313
Djibouti,DJI,2001,47,5.44,47,771.313
Djibouti,DJI,2001,48,5.211,48,771.313
Djibouti,DJI,2001,49,5.061,49,771.313
Djibouti,DJI,2001,50,5.034,50,771.313
Djibouti,DJI,2001,51,5.0745,51,771.313
Djibouti,DJI,2001,52,4.9975,52,771.313
Djibouti,DJI,2001,53,4.769,53,771.313
Djibouti,DJI,2001,54,4.5195,54,771.313
Djibouti,DJI,2001,55,4.283,55,771.313
Djibouti,DJI,2001,56,4.055,56,771.313
Djibouti,DJI,2001,57,3.84,57,771.313
Djibouti,DJI,2001,58,3.639,58,771.313
Djibouti,DJI,2001,59,3.449,59,771.313
Djibouti,DJI,2001,60,3.2675,60,771.313
Djibouti,DJI,2001,61,3.0975,61,771.313
Djibouti,DJI,2001,62,2.9365,62,771.313
Djibouti,DJI,2001,63,2.7725,63,771.313
Djibouti,DJI,2001,64,2.605,64,771.313
Djibouti,DJI,2001,65,2.443,65,771.313
Djibouti,DJI,2001,66,2.288,66,771.313
Djibouti,DJI,2001,67,2.1395,67,771.313
Djibouti,DJI,2001,68,1.991,68,771.313
Djibouti,DJI,2001,69,1.8435,69,771.313
Djibouti,DJI,2001,70,1.702,70,771.313
Djibouti,DJI,2001,71,1.559,71,771.313
Djibouti,DJI,2001,72,1.419,72,771.313
Djibouti,DJI,2001,73,1.281,73,771.313
Djibouti,DJI,2001,74,1.146,74,771.313
Djibouti,DJI,2001,75,1.021,75,771.313
Djibouti,DJI,2001,76,0.908,76,771.313
Djibouti,DJI,2001,77,0.803,77,771.313
Djibouti,DJI,2001,78,0.704,78,771.313
Djibouti,DJI,2001,79,0.61,79,771.313
Djibouti,DJI,2001,80,0.523,80,771.313
Djibouti,DJI,2001,81,0.4425,81,771.313
Djibouti,DJI,2001,82,0.37,82,771.313
Djibouti,DJI,2001,83,0.305,83,771.313
Djibouti,DJI,2001,84,0.2485,84,771.313
Djibouti,DJI,2001,85,0.199,85,771.313
Djibouti,DJI,2001,86,0.157,86,771.313
Djibouti,DJI,2001,87,0.1215,87,771.313
Djibouti,DJI,2001,88,0.092,88,771.313
Djibouti,DJI,2001,89,0.0685,89,771.313
Djibouti,DJI,2001,90,0.0495,90,771.313
Djibouti,DJI,2001,91,0.035,91,771.313
Djibouti,DJI,2001,92,0.0245,92,771.313
Djibouti,DJI,2001,93,0.016,93,771.313
Djibouti,DJI,2001,94,0.01,94,771.313
Djibouti,DJI,2001,95,0.007,95,771.313
Djibouti,DJI,2001,96,0.004,96,771.313
Djibouti,DJI,2001,97,0.003,97,771.313
Djibouti,DJI,2001,98,0.001,98,771.313
Djibouti,DJI,2001,99,0.001,99,771.313
Djibouti,DJI,2001,100,0,100,771.313
Djibouti,DJI,2002,0,24.817,0,795.574
Djibouti,DJI,2002,1,23.802,1,795.574
Djibouti,DJI,2002,2,22.9645,2,795.574
Djibouti,DJI,2002,3,22.0905,3,795.574
Djibouti,DJI,2002,4,21.248,4,795.574
Djibouti,DJI,2002,5,20.726,5,795.574
Djibouti,DJI,2002,6,20.4945,6,795.574
Djibouti,DJI,2002,7,20.2835,7,795.574
Djibouti,DJI,2002,8,19.9965,8,795.574
Djibouti,DJI,2002,9,19.6165,9,795.574
Djibouti,DJI,2002,10,19.2425,10,795.574
Djibouti,DJI,2002,11,18.873,11,795.574
Djibouti,DJI,2002,12,18.4225,12,795.574
Djibouti,DJI,2002,13,17.971,13,795.574
Djibouti,DJI,2002,14,17.5775,14,795.574
Djibouti,DJI,2002,15,17.21,15,795.574
Djibouti,DJI,2002,16,16.8725,16,795.574
Djibouti,DJI,2002,17,16.5825,17,795.574
Djibouti,DJI,2002,18,16.333,18,795.574
Djibouti,DJI,2002,19,16.11,19,795.574
Djibouti,DJI,2002,20,15.914,20,795.574
Djibouti,DJI,2002,21,15.7385,21,795.574
Djibouti,DJI,2002,22,15.562,22,795.574
Djibouti,DJI,2002,23,15.362,23,795.574
Djibouti,DJI,2002,24,15.122,24,795.574
